Boids()
Step 229, 0 has arrived, 0 collisions
Step 230, 0 has arrived, 0 collisions
Step 231, 0 has arrived, 0 collisions
Step 232, 0 has arrived, 0 collisions
Step 233, 0 has arrived, 0 collisions
Step 234, 0 has arrived, 0 collisions
Step 235, 0 has arrived, 0 collisions
Step 236, 0 has arrived, 0 collisions
Step 237, 0 has arrived, 0 collisions
Step 238, 0 has arrived, 0 collisions
Step 239, 0 has arrived, 0 collisions
Step 240, 0 has arrived, 0 collisions
Step 241, 0 has arrived, 0 collisions
Step 242, 0 has arrived, 0 collisions
Step 243, 0 has arrived, 0 collisions
Step 244, 0 has arrived, 0 collisions
Step 245, 0 has arrived, 0 collisions
Step 246, 0 has arrived, 0 collisions
Step 247, 0 has arrived, 0 collisions
Step 248, 0 has arrived, 0 collisions
Step 249, 0 has arrived, 0 collisions
Step 250, 0 has arrived, 0 collisions
Step 251, 0 has arrived, 0 collisions
Step 252, 0 has arrived, 0 collisions
Step 253, 0 has arrived, 0 collisions
Step 254, 0 has arrived, 0 collisions
Step 255, 0 has arrived, 0 collisions
Step 256, 0 has arrived, 0 collisions
Step 257, 0 has arrived, 0 collisions
Step 258, 0 has arrived, 0 collisions
Step 259, 0 has arrived, 0 collisions
Step 260, 0 has arrived, 0 collisions
Step 261, 0 has arrived, 0 collisions
Step 262, 0 has arrived, 0 collisions
Step 263, 0 has arrived, 0 collisions
Step 264, 0 has arrived, 0 collisions
Step 265, 0 has arrived, 0 collisions
Step 266, 0 has arrived, 0 collisions
Step 267, 0 has arrived, 0 collisions
Step 268, 0 has arrived, 0 collisions
Step 269, 0 has arrived, 0 collisions
Step 270, 0 has arrived, 0 collisions
Step 271, 0 has arrived, 0 collisions
Step 272, 0 has arrived, 0 collisions
Step 273, 0 has arrived, 0 collisions
Step 274, 0 has arrived, 0 collisions
Step 275, 0 has arrived, 0 collisions
Step 276, 0 has arrived, 0 collisions
Step 277, 0 has arrived, 0 collisions
Step 278, 0 has arrived, 0 collisions
Step 279, 0 has arrived, 0 collisions
Step 280, 0 has arrived, 0 collisions
Step 281, 0 has arrived, 0 collisions
Step 282, 0 has arrived, 0 collisions
Step 283, 0 has arrived, 0 collisions
Step 284, 0 has arrived, 0 collisions
Step 285, 0 has arrived, 0 collisions
Step 286, 0 has arrived, 0 collisions
Step 287, 0 has arrived, 0 collisions
Step 288, 0 has arrived, 0 collisions
Step 289, 0 has arrived, 0 collisions
Step 290, 0 has arrived, 0 collisions
Step 291, 0 has arrived, 0 collisions
Step 292, 0 has arrived, 0 collisions
Step 293, 0 has arrived, 0 collisions
Step 294, 0 has arrived, 0 collisions
Step 295, 0 has arrived, 0 collisions
Step 296, 0 has arrived, 0 collisions
Step 297, 0 has arrived, 0 collisions
Step 298, 0 has arrived, 0 collisions
Step 299, 0 has arrived, 0 collisions
Step 300, 0 has arrived, 0 collisions
Step 301, 0 has arrived, 0 collisions
Step 302, 0 has arrived, 0 collisions
Step 303, 0 has arrived, 0 collisions
Step 304, 0 has arrived, 0 collisions
Step 305, 0 has arrived, 0 collisions
Step 306, 0 has arrived, 0 collisions
Step 307, 0 has arrived, 0 collisions
Step 308, 0 has arrived, 0 collisions
Step 309, 0 has arrived, 0 collisions
Step 310, 0 has arrived, 0 collisions
Step 311, 0 has arrived, 0 collisions
Step 312, 0 has arrived, 0 collisions
